log_M,U,R,U - R,Morphology
11.491506,16.555897,13.984583,2.5713139,4
10.48542,17.478088,15.124203,2.3538857,0
9.836695,18.181545,16.47288,1.7086658,4
10.675845,16.848213,14.816916,2.0312967,4
10.234056,18.199852,15.72315,2.4767017,0
10.745031,18.50095,15.865363,2.6355867,0
11.396123,17.268251,14.431416,2.8368359,1
11.362105,17.71583,15.033047,2.6827831,0
10.409736,15.921884,13.864341,2.0575428,4
10.689673,16.736685,14.352871,2.3838139,4
10.563866,19.223328,16.647205,2.5761223,0
9.76481,17.800415,16.44465,1.3557644,0
10.918161,17.960974,15.491811,2.469163,1
10.191333,17.783634,16.114752,1.6688824,0
10.360178,17.284199,15.47021,1.8139887,0
10.672764,15.63961,13.897795,1.7418156,4
10.129301,18.590889,16.510376,2.080513,4
11.024851,17.103893,14.6849165,2.4189768,4
9.983517,17.429033,15.944022,1.4850111,4
9.771235,18.938814,16.783756,2.155058,4
9.658447,21.864134,16.863138,5.0009956,4
10.326171,16.830528,15.160379,1.6701488,4
10.644278,17.069578,14.804852,2.2647266,1
9.826785,18.14961,16.278036,1.8715744,0
10.972067,18.340326,15.650698,2.6896286,0
10.363316,18.477018,16.025558,2.45146,1
9.84973,16.656479,15.023316,1.6331625,0
10.442665,17.208529,14.896207,2.3123217,1
10.117057,17.633085,15.8487,1.7843857,4
9.998511,17.08702,15.485651,1.6013699,0
11.229751,17.121904,14.607777,2.5141277,1
10.060647,18.5595,16.29252,2.2669792,0
10.686658,17.278898,14.818147,2.4607515,1
11.480493,17.47861,14.672496,2.8061132,1
11.745031,17.02616,14.215313,2.8108463,1
10.398733,17.50677,15.34359,2.1631794,0
10.398923,17.567148,15.398904,2.1682444,0
11.210702,17.00046,14.411847,2.5886126,4
10.771325,16.729778,14.320405,2.4093733,0
10.577019,18.853289,16.040804,2.8124847,4
10.298317,17.73111,15.3332205,2.3978891,0
10.596647,19.3675,16.744898,2.6226025,0
11.380505,17.309212,14.618922,2.6902895,1
10.925837,18.749502,16.039312,2.7101898,0
11.293632,17.912003,15.170713,2.7412891,0
10.904674,17.150433,14.62728,2.5231524,4
9.928853,18.487827,16.493263,1.994564,0
9.792048,19.233498,16.90113,2.332367,0
9.593863,18.430313,16.972399,1.4579144,4
10.630275,18.328405,15.681499,2.6469069,0
10.905008,16.142754,13.536895,2.6058588,4
10.081119,17.489264,16.007715,1.4815483,0
11.447763,17.318909,14.641362,2.6775465,1
9.597021,18.909903,16.996342,1.9135609,0
10.382432,15.287416,13.645996,1.6414204,4
9.986643,19.819098,16.996664,2.8224335,0
10.542458,17.543736,15.11984,2.4238958,0
9.995728,18.467133,16.417088,2.050045,3
10.674973,18.278852,15.416269,2.8625832,4
10.255224,19.008795,16.538225,2.4705696,0
10.734288,17.839195,15.310629,2.5285664,1
9.533844,18.32984,16.910915,1.4189243,0
9.967182,18.76751,16.851799,1.9157104,0
11.040762,18.588375,15.773826,2.8145494,1
10.077634,18.962454,16.390198,2.572256,0
11.333614,16.622753,13.923356,2.699397,1
10.197686,17.426167,15.802412,1.6237545,4
11.38857,16.418613,13.762784,2.6558294,1
9.657483,18.169664,16.920557,1.2491074,0
9.740481,18.238014,16.709167,1.5288467,4
10.164872,17.154549,15.253547,1.9010019,4
9.899868,18.104162,16.326477,1.7776852,4
10.297547,17.823841,15.597024,2.2268171,4
11.066544,18.25632,15.593644,2.6626768,1
10.385042,17.564598,15.272415,2.292183,0
10.783806,17.516586,14.994152,2.5224342,1
10.948291,18.66358,15.958754,2.7048264,0
11.564834,16.814465,14.027915,2.7865496,4
9.761755,18.429356,16.350555,2.0788002,4
9.615314,17.951733,16.257092,1.6946411,0
9.31319,18.357887,16.954815,1.4030724,0
10.172261,18.418823,16.335411,2.0834122,0
9.944034,18.143557,16.23098,1.9125767,4
10.148664,18.279812,15.823598,2.456214,3
10.697211,17.006685,14.445632,2.5610533,3
10.396435,18.213015,15.783094,2.4299202,0
10.325549,17.402367,15.673656,1.7287102,0
10.05682,17.84223,16.387138,1.4550915,0
11.098073,17.063496,14.436672,2.6268234,1
10.449501,17.529253,15.6255665,1.9036865,0
11.363505,17.892195,15.087951,2.804244,1
10.178872,18.125652,16.097832,2.0278206,4
11.18212,18.399311,15.64926,2.7500515,0
11.020123,18.79391,16.017044,2.776865,1
9.883191,17.930841,16.49875,1.4320908,4
11.151451,18.42886,15.726117,2.7027426,0
11.130085,19.662743,16.371288,3.2914543,4
10.513098,16.361557,14.747935,1.6136217,4
10.122098,16.49808,14.67792,1.820159,4
11.332836,17.771751,15.016558,2.7551937,0
10.085023,18.428038,16.768042,1.659996,0
11.624649,16.464823,13.786355,2.6784678,1
11.00996,18.307833,15.63266,2.6751728,0
10.271515,16.711586,14.989662,1.7219238,0
10.574029,18.408709,15.639363,2.7693453,4
10.231536,17.9464,15.762222,2.1841774,0
10.334046,18.566813,15.99761,2.5692024,4
10.188376,17.65892,15.761278,1.8976421,0
9.42417,18.521542,16.976791,1.5447502,0
9.94559,18.063204,16.612844,1.4503593,0
9.646143,18.441303,16.73583,1.705473,0
10.078598,17.609535,15.9986725,1.6108627,0
10.138649,17.054981,15.415652,1.639329,0
10.865993,17.89606,15.301935,2.5941257,1
10.952639,18.750198,15.965344,2.784854,0
9.970308,18.458881,16.540113,1.9187679,4
10.079376,17.61478,15.665697,1.9490833,4
10.093459,18.158382,16.183723,1.974659,0
10.549165,18.048714,15.56977,2.4789438,4
10.340199,17.479904,15.70981,1.7700939,0
9.974914,17.668734,15.935945,1.732789,0
9.96096,18.037636,16.186844,1.8507919,0
11.458454,17.509815,14.8522,2.6576157,1
9.418161,18.201754,16.945816,1.2559376,0
9.902652,18.799248,16.575981,2.2232666,4
10.962802,18.097723,15.509424,2.5882988,1
