OBJID,RA,DEC,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,RMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS
587741533326147689,180.6917264,30.23567354,0.0515731,0,1,-19.52366257,-20.96536827,-21.62765312,-21.92877197,-22.10571098,10.73412132,13.27656555,0.64153081,7.73E-02,-999,-9.99E+02
588017604153966744,205.2830788,42.53146575,0.0835783,0.20964243,0.52979094,-19.274786,-20.35280228,-20.86330986,-21.11644554,-21.25510597,10.12105942,3.94016099,0.68799388,-9.68E-01,40.36593628,5.76E+14
587730816286851215,333.9557948,-9.23741433,0.0824814,0.0139698,0.95122862,-18.73464775,-20.13538361,-20.68014908,-20.89855576,-21.17688942,10.3379879,5.70023155,0.37952685,5.1E-01,0.99471223,1.9E+14
588017977284427914,190.7663409,38.62594801,0.0808197,0.11588567,0.58040035,-18.85402107,-19.93115234,-20.25702858,-20.32089996,-20.40919495,9.73948574,6.08040905,0.69530398,-8.51E-01,31.70938301,5.76E+14
587732592257204380,204.0146308,59.72403827,0.0705611,0.64752573,0.12137129,-17.94346619,-19.5693512,-20.28759384,-20.64209557,-20.90863228,10.23833942,3.45042825,0.72213942,2.23E-01,0.72578025,1.06E+14
587733080819368082,209.0609507,52.61069543,0.0837749,0.13785408,0.79793239,-18.40950584,-19.97320557,-20.7599411,-21.16437531,-21.57043648,10.42386055,6.10484982,0.46717098,-6.04E-01,19.31299591,7.51E+13
587736542560452768,227.4359963,7.46025264,0.0787534,0.11841836,0.88158166,-20.0500927,-21.51099014,-22.14790726,-22.44181442,-22.64763451,10.93922138,8.59435177,0.69644505,1.18E+00,-999,-9.99E+02
587733399190700408,258.2375753,23.25745481,0.0570198,0.64144546,0.35855454,-18.82371902,-20.16588974,-20.92590904,-21.29912186,-21.57486343,10.4869566,6.64779949,0.47014719,-9.67E-01,21.22781754,1.04E+14
587725040633577625,190.9699386,-2.37604003,0.0598578,0.17689818,0.77423191,-19.25305367,-20.23558235,-20.70869446,-20.92050362,-21.10952568,10.01273918,5.14672852,0.73754632,-7.08E-01,44.69929504,1.56E+14
587722982281117913,189.5927557,-0.83151949,0.0760882,0.12529074,0.2543641,-19.29771042,-20.35204315,-20.84633636,-21.03302956,-21.17731285,10.17767715,5.78008509,0.84279668,-9.65E-01,20.52171707,2.24E+14
