Rk,Player,Pos,Age,Tm,G,MP,FGP,Distance,2P,0-3,3-10,10-16,16-3P,3P,3PA,2PA,FGA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
573,Trendon Watford,SF,21,POR,48,869,0.532,8,0.581,0.768,0.478,0.361,0.25,0.237,38,229,267,71,94,0.755,57,142,199,81,25,28,44,116,364
574,Paul Watson,SF,27,OKC,9,156,0.343,19.7,0.667,0.75,0.5,1,,0.231,26,9,35,1,2,0.5,3,24,27,8,3,3,4,10,31
575,Quinndary Weatherspoon,SG,25,GSW,11,73,0.571,8.5,0.688,0.8,0.6,0,,0.2,5,16,21,5,5,1,2,12,14,5,1,1,3,15,30
576,Russell Westbrook,PG,33,LAL,78,2678,0.444,10.8,0.485,0.623,0.388,0.374,0.379,0.298,265,968,1233,266,399,0.667,110,470,580,550,75,20,295,235,1441
577,Coby White,PG,21,CHI,61,1675,0.433,17.4,0.491,0.661,0.357,0.381,0.404,0.385,353,291,644,78,91,0.857,17,165,182,176,29,11,70,137,772
578,Derrick White,SG,27,TOT,75,2199,0.421,15.4,0.515,0.614,0.503,0.479,0.217,0.312,369,431,800,203,235,0.864,38,223,261,366,64,58,119,172,992
578,Derrick White,SG,27,SAS,49,1486,0.426,15.2,0.519,0.594,0.515,0.472,0.286,0.314,258,312,570,139,160,0.869,25,148,173,274,49,42,87,116,706
578,Derrick White,SG,27,BOS,26,713,0.409,16,0.504,0.677,0.473,0.5,0.111,0.306,111,119,230,64,75,0.853,13,75,88,92,15,16,32,56,286
579,Hassan Whiteside,C,32,UTA,65,1162,0.652,3.8,0.652,0.802,0.516,0.263,0,,0,330,330,104,167,0.623,166,328,494,26,22,103,53,179,534
580,Joe Wieskamp,SG,22,SAS,29,205,0.357,21.5,0.462,0.75,0.333,0.5,0.25,0.326,43,13,56,7,13,0.538,4,10,14,9,4,3,2,14,61
581,Aaron Wiggins,SG,23,OKC,50,1209,0.463,12.7,0.573,0.655,0.514,0.5,0.5,0.304,138,199,337,62,85,0.729,51,127,178,68,30,10,54,93,416
582,Andrew Wiggins,SF,26,GSW,73,2330,0.466,14.9,0.513,0.732,0.49,0.365,0.372,0.393,399,620,1019,149,235,0.634,85,240,325,161,76,51,111,158,1256
583,Lindell Wigginton,PG,23,MIL,19,199,0.426,12.7,0.486,0.609,0.273,0,,0.346,26,35,61,19,35,0.543,3,22,25,23,5,1,12,17,80
584,Brandon Williams,PG,22,POR,24,640,0.372,14.1,0.42,0.507,0.327,0.429,0.348,0.292,106,176,282,68,97,0.701,19,55,74,94,24,10,58,52,309
585,Grant Williams,PF,23,BOS,77,1875,0.475,16.6,0.569,0.75,0.493,0.133,0.167,0.411,258,174,432,86,95,0.905,64,210,274,78,38,57,62,186,602
586,Kenrich Williams,SF,27,OKC,49,1072,0.461,13.7,0.536,0.649,0.479,0.48,0.391,0.339,121,196,317,30,55,0.545,75,145,220,108,44,10,46,81,363
587,Lou Williams,PG,35,ATL,56,799,0.391,15.3,0.404,0.514,0.392,0.372,0.385,0.363,102,218,320,67,78,0.859,16,71,87,105,28,3,43,48,354
588,Patrick Williams,PF,20,CHI,17,422,0.529,13.2,0.534,0.714,0.4,0.545,0.368,0.517,29,73,102,30,41,0.732,17,52,69,15,9,9,16,28,153
589,Robert Williams,C,24,BOS,61,1804,0.736,2.4,0.738,0.792,0.589,0.2,0.4,0,1,367,368,65,90,0.722,238,350,588,121,56,134,63,137,607
590,Ziaire Williams,SF,20,MEM,62,1346,0.45,17.2,0.632,0.855,0.478,0.343,0.64,0.314,242,182,424,43,55,0.782,26,103,129,65,35,12,41,113,501
591,D.J. Wilson,PF,25,TOR,4,54,0.733,9.6,0.846,1,0.5,0.667,1,0,2,13,15,8,10,0.8,1,15,16,5,5,1,2,6,30
592,Dylan Windler,SF,25,CLE,50,459,0.378,18.7,0.571,0.632,0.5,0,,0.3,70,28,98,15,18,0.833,21,68,89,34,14,3,16,47,110
593,Justise Winslow,PF,25,TOT,48,775,0.428,10.7,0.497,0.681,0.379,0.222,0.25,0.227,66,191,257,39,66,0.591,50,152,202,84,35,25,49,67,274
593,Justise Winslow,PF,25,LAC,37,480,0.447,9.5,0.518,0.686,0.422,0.273,0.2,0.172,29,112,141,25,41,0.61,30,103,133,52,21,18,37,46,156
593,Justise Winslow,PF,25,POR,11,295,0.405,12,0.468,0.675,0.286,0.143,0.273,0.27,37,79,116,14,25,0.56,20,49,69,32,14,7,12,21,118
594,Cassius Winston,PG,23,WAS,7,39,0.364,19.1,0.4,0,0,0.5,1,0.333,6,5,11,4,4,1,0,1,1,7,0,0,3,9,14
595,Christian Wood,C,26,HOU,68,2094,0.501,13,0.57,0.737,0.454,0.34,0.194,0.39,336,542,878,207,332,0.623,110,576,686,155,54,65,126,171,1218
596,Robert Woodard II,SF,22,SAC,12,42,0.125,12.7,0.083,0.333,0,0,0,0.25,4,12,16,2,2,1,5,6,11,3,1,1,1,3,7
597,Delon Wright,SG,29,ATL,77,1452,0.454,14.1,0.51,0.62,0.412,0.25,0.455,0.379,116,153,269,54,63,0.857,50,170,220,188,93,19,45,56,342
598,McKinley Wright IV,PG,23,MIN,5,19,0.667,19.3,1,,1,,,0.5,2,1,3,0,0,,0,0,0,3,0,0,1,1,5
599,Moses Wright,PF,23,TOT,4,15,0.25,13.2,0.333,1,,0,,0,1,3,4,3,3,1,1,2,3,2,0,1,0,0,5
599,Moses Wright,PF,23,LAC,1,1,,,,,,,,,0,0,0,0,0,,0,0,0,1,0,0,0,0,0
599,Moses Wright,PF,23,DAL,3,13,0.25,13.2,0.333,1,,0,,0,1,3,4,3,3,1,1,2,3,1,0,1,0,0,5
600,Gabe York,SG,28,IND,2,21,0.286,22.4,1,,1,,,0.167,6,1,7,3,5,0.6,0,2,2,4,2,1,1,4,8
601,Thaddeus Young,PF,33,TOT,52,845,0.518,7.7,0.554,0.625,0.523,0.286,0.167,0.354,48,224,272,23,49,0.469,80,128,208,104,54,18,52,81,322
601,Thaddeus Young,PF,33,SAS,26,370,0.578,5.1,0.602,0.72,0.561,0,0.333,0,5,123,128,10,22,0.455,40,53,93,59,23,7,30,38,158
601,Thaddeus Young,PF,33,TOR,26,475,0.465,10.1,0.495,0.537,0.463,0.667,0,0.395,43,101,144,13,27,0.481,40,75,115,45,31,11,22,43,164
602,Trae Young,PG,23,ATL,76,2652,0.46,16.5,0.512,0.62,0.451,0.469,0.513,0.382,610,934,1544,500,553,0.904,50,234,284,737,72,7,303,128,2155
603,Omer Yurtseven,C,23,MIA,56,706,0.526,5.8,0.547,0.722,0.432,0.357,0,0.091,11,236,247,38,61,0.623,85,209,294,49,17,20,41,84,299
604,Cody Zeller,C,29,POR,27,355,0.567,3.7,0.593,0.621,0.542,0.333,1,0,4,86,90,38,49,0.776,50,75,125,22,8,6,19,56,140
605,Ivica Zubac,C,24,LAC,76,1852,0.626,3.4,0.626,0.714,0.508,0.5,0.333,,0,495,495,165,227,0.727,217,427,644,120,36,77,114,203,785
