"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"107","Lil'Jordan Humphrey (DEN)","13","19","162","12.5","54","4","3","0","0","0","0","17","34.2","2.0","0.1%"
"108","Skyy Moore (KC)","21","38","244","11.6","54","6","1","3","23","0","0","14","32.7","2.3","6.5%"
"109","Jauan Jennings (SF)","19","33","265","13.9","31","5","1","0","0","0","0","13","32.5","2.5","0.9%"
"110","JuJu Smith-Schuster (NE)","29","47","260","9.0","37","4","1","0","0","0","0","11","32.0","2.9","7.1%"
"111","Mike Williams (NYJ)","19","26","249","13.1","49","7","1","1","3","0","0","3","31.2","10.4","47.8%"
"112","Braxton Berrios (MIA)","27","33","238","8.8","22","1","1","1","11","0","0","16","30.9","1.9","1.3%"
"113","Bo Melton (GB)","16","24","218","13.6","37","4","1","3","21","0","0","4","29.9","7.5","0.4%"
"114","Alex Erickson (FA)","16","29","232","14.5","27","4","1","0","0","0","0","8","29.2","3.7","0.0%"
"115","Olamide Zaccheaus (WAS)","10","20","164","16.4","34","5","2","0","0","0","0","17","28.4","1.7","0.1%"
"116","Scotty Miller (PIT)","11","16","161","14.6","56","7","2","0","0","0","0","17","28.1","1.7","0.1%"
"117","Allen Robinson II (NYG)","34","49","280","8.2","31","3","0","0","0","0","0","17","28.0","1.6","0.7%"
"118","Jamal Agnew (FA)","14","21","225","16.1","65","7","1","4","-2","0","1","11","26.3","2.4","1.0%"
"119","Kadarius Toney (KC)","27","38","169","6.3","18","0","1","11","31","0","0","13","26.0","2.0","6.0%"
"120","Julio Jones (FA)","11","19","74","6.7","22","1","3","0","0","0","0","11","25.4","2.3","0.6%"
"121","Mack Hollins (BUF)","18","30","251","13.9","45","5","0","0","0","0","0","13","25.1","1.9","0.4%"
"122","Deonte Harty (BAL)","15","21","150","10.0","43","4","1","4","0","0","1","16","25.0","1.6","0.2%"
"123","Ronnie Bell (SF)","6","13","68","11.3","20","1","3","0","0","0","0","16","24.8","1.6","0.2%"
"124","Ihmir Smith-Marsette (CAR)","8","10","51","6.4","18","0","0","8","74","1","0","17","24.5","1.4","0.1%"
"125","Treylon Burks (TEN)","16","30","221","13.8","70","8","0","5","18","0","0","11","23.9","2.2","6.2%"
"126","Hunter Renfrow (FA)","25","37","255","10.2","38","5","0","0","0","0","1","17","23.5","1.4","0.7%"
"127","Cedric Tillman (CLE)","21","44","224","10.7","23","1","0","1","8","0","0","14","23.2","1.7","0.8%"
"128","KhaDarel Hodge (ATL)","14","23","232","16.6","52","7","0","1","0","0","0","17","23.2","1.4","0.1%"
"129","Parker Washington (JAC)","16","21","132","8.3","19","0","2","0","0","0","1","9","23.2","2.6","2.7%"
"130","Dyami Brown (WAS)","12","23","168","14.0","35","4","1","1","0","0","0","17","23.0","1.4","0.2%"
"131","Jalen Reagor (NE)","7","23","138","19.7","39","5","0","1","17","0","0","11","21.5","2.0","0.1%"
"132","Van Jefferson (PIT)","20","43","209","10.5","46","3","0","1","4","0","0","17","21.3","1.3","1.4%"
"133","Derius Davis (LAC)","15","17","66","4.4","18","0","0","14","101","0","1","17","20.7","1.2","0.4%"
"134","Quez Watkins (PIT)","15","21","142","9.5","19","0","1","0","0","0","0","9","20.2","2.2","0.2%"
"135","Jamison Crowder (WAS)","16","20","159","9.9","26","1","1","0","0","0","1","17","19.9","1.2","0.4%"
"136","Tyler Scott (CHI)","17","32","168","9.9","30","2","0","7","41","0","1","17","18.9","1.1","0.3%"
"137","Robbie Chosen (FA)","4","6","126","31.5","68","6","1","0","0","0","0","9","18.6","2.1","0.0%"
"138","Malik Heath (GB)","15","24","125","8.3","16","0","1","0","0","0","0","13","18.5","1.4","0.2%"
"139","River Cracraft (MIA)","9","12","121","13.4","24","2","1","0","0","0","0","10","18.1","1.8","0.1%"
"140","Deven Thompkins (FA)","17","25","83","4.9","26","1","1","8","56","0","1","17","17.9","1.1","0.1%"
"141","Ray-Ray McCloud III (ATL)","12","15","135","11.3","41","4","0","3","30","0","0","12","16.5","1.4","0.6%"
"142","John Metchie III (HOU)","16","30","158","9.9","22","1","0","1","4","0","0","16","16.2","1.0","0.8%"
"143","Kyle Philips (TEN)","15","22","181","12.1","29","4","0","0","0","0","1","9","16.1","1.8","0.1%"
"144","Donovan Peoples-Jones (DET)","13","25","155","11.9","29","2","0","0","0","0","0","15","15.5","1.0","1.8%"
